# 문서별 커버리지 (0건 = 추출 실패/누락 — 반드시 확인)
문서,추출상품수,비고
KB_소상공인_보증서대출_지역재단,1,
KB_소상공인_신용대출_상품안내,1,
KB_소상공인정책자금_이자지원보증서대출_안내,1,
KB_소상공인정책자금대출_상품목록,1,
서울신보_보증상품_ESG실천기업,1,
서울신보_보증상품_모바일앱자동심사,2,
서울신보_보증상품_미래성장산업,1,
서울신보_보증상품_일자리창출사회적기업,2,
서울신보_보증상품_장애인기업,1,
서울신보_보증상품_창업기업,1,
소진공_2026_소상공인정책자금_융자공고,10,
소진공_소상공인정책자금_지원사업안내,14,

# 상품 상세 (필드 칸을 직접 수정. 검수액션: 유지/수정/드롭)
doc,name,org,product_type,max_age,industries,regions,pre_startup_only,amount_max,rate,rate_note,term_months,exclusive_group,status,notice_date,source_url,자동검증,검수액션,검수의견
KB_소상공인_보증서대출_지역재단,KB소상공인 보증서대출,KB국민은행,loan,,,['서울'],False,10000,2.1,,,,open,2026-07-21,https://obank.kbstar.com,OK,,
KB_소상공인_신용대출_상품안내,KB소상공인 신용대출,KB국민은행,loan,,,,False,20000,,최저 연 3.62% (2026.07.21 기준) 3개월 변동금리,60,,open,2026-07-21,https://obank.kbstar.com,OK,,
KB_소상공인정책자금_이자지원보증서대출_안내,이자지원 보증서 대출,KB국민은행,loan,,,['서울'],False,10000,,은행 대출 금리 - 이자 지원 금리,,,open,2026-07-21,https://obank.kbstar.com,OK,,
KB_소상공인정책자금대출_상품목록,소상공인 정책자금대출,KB국민은행,loan,,,['서울'],False,,,연 2.5%~최고 연 3.5%,,,open,2026-07-21,https://obank.kbstar.com,필수 결측: amount_max,,
서울신보_보증상품_ESG실천기업,ESG 실천기업 보증,서울신용보증재단,guarantee,,,['서울'],False,10000,,서울시금고(ESG 차주) 이용 시 은행금리에서 2.5% 차감(서울시 부담),,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_모바일앱자동심사,서울형 자영업자 위기극복 안심동행 특별보증,서울신용보증재단,guarantee,,,['서울'],False,10000,,연 1.0%,,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_모바일앱자동심사,지능형 모바일 자동심사 특별보증,서울신용보증재단,guarantee,,,['서울'],False,10000,,변동금리: CD금리 + 2.0% 이내,,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_미래성장산업,미래 유망기업 성장지원 보증,서울신용보증재단,guarantee,,,['서울'],False,8000,1.0,,,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_일자리창출사회적기업,일자리 창출 및 고용안정 우수기업 특별보증,서울신용보증재단,guarantee,,,['서울'],False,4000,1.0,,60,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_일자리창출사회적기업,사회적경제기업 특별보증,서울신용보증재단,guarantee,,,['서울'],True,4000,,"서울시금고(사회적경제기업자금) 이용 시 연 1.75% 고정금리, 그 외의 경우 자금에 따라 변동",60,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_장애인기업,장애인 기업 특별보증,서울신용보증재단,guarantee,,,['서울'],False,10000,,연 0.7%,,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
서울신보_보증상품_창업기업,창업자금 및 사업장 임차자금 특별보증,서울신용보증재단,guarantee,,,['서울'],False,5000,,신용보증 이수자: 연체된 5천만원 이내,,,open,2026-07-21,https://www.seoulshinbo.co.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,일반경영안정자금,소진공,loan,,,['서울'],False,7000,,정책자금 기준금리 + 0.6%p,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,긴급경영안정자금 (재해),소진공,loan,,,['서울'],False,10000,2.0,,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,긴급경영안정자금 (일시적 경영애로),소진공,loan,,,['서울'],False,7000,,정책자금 기준금리,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,신용취약소상공인자금,소진공,loan,,,['서울'],False,3000,,정책자금 기준금리 + 1.6%p,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,대환대출,소진공,loan,,,['서울'],False,5000,4.5,,120,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,재도전특별자금 (일반형),소진공,loan,,,['서울'],False,7000,,정책자금 기준금리 + 1.6%p,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,재도전특별자금 (희망형),소진공,loan,,,['서울'],False,10000,,정책자금 기준금리 + 0.6%p,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,재도전특별자금 (도약형),소진공,loan,,,['서울'],False,20000,,정책자금 기준금리 + 0.4%p,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,장애인기업지원자금,소진공,loan,,,['서울'],False,10000,2.0,,84,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_2026_소상공인정책자금_융자공고,청년고용연계자금,소진공,loan,39,,['서울'],False,7000,,정책자금 기준금리,60,,open,2025-12-29,https://ols.semas.or.kr,OK,,
소진공_소상공인정책자금_지원사업안내,성장기반자금,소진공,loan,,['제조업'],['서울'],False,,,매분기별로 변동,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,혁신성장촉진자금,소진공,loan,,,['서울'],False,,4.25,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,민간투자연계형 매칭융자,소진공,loan,,,['서울'],False,,4.25,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,일시적 경영애로자금,소진공,loan,,,['서울'],False,,3.85,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,상생성장 지원자금,소진공,loan,,,['서울'],False,,4.25,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,소공인 특화자금(일반),소진공,loan,,['제조업'],['서울'],False,,4.45,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
소진공_소상공인정책자금_지원사업안내,긴급경영 안정자금(재해피해),소진공,loan,,,['서울'],False,,2.0,,,,open,2026-07-21,https://ols.semas.or.kr,필수 결측: amount_max,,
